STEP,LAPV,TENG,LAPM,S3,prevF,nextF,MV_STEP,ratio,trend,IMG_PATH,due
8,198.20577,15740.94031,3.5791,0.16717,352.04725,133.53774,-7,0.5630089995021975,down,/home/pi/arducam/album-V2/IMG_1593335025.png,big
9,133.53774,12974.67712,3.04529,0.10062,198.20577,112.1676,-8,0.6737328585338359,down,/home/pi/arducam/album-V2/IMG_1593335028.png,big
10,112.1676,11816.26331,2.78931,0.08318,133.53774,112.1676,-9,0.8399692850874965,down,/home/pi/arducam/album-V2/IMG_1593335030.png,big
1,2189.07762,45923.99182,16.32117,0.60802,2189.07762,2174.89753,3,0,up,/home/pi/arducam/album-V2/IMG_1593335899.png,big
2,2174.89753,45945.16541,16.22986,0.5935,2189.07762,2243.73357,2,0.9935223448129721,down,/home/pi/arducam/album-V2/IMG_1593335901.png,small
3,2243.73357,47163.38098,16.34705,0.60302,2174.89753,2535.0677,1,1.0316502451497105,up,/home/pi/arducam/album-V2/IMG_1593335904.png,small
4,2535.0677,49115.61157,16.72107,0.62488,2243.73357,2454.61886,0,1.129843459979074,up,/home/pi/arducam/album-V2/IMG_1593335906.png,small
5,2454.61886,50038.42859,16.68848,0.63346,2535.0677,1313.39635,-1,0.9682656048988356,down,/home/pi/arducam/album-V2/IMG_1593335908.png,small
6,1313.39635,42294.54541,13.2113,0.40186,2454.61886,659.62609,-2,0.535071400046197,down,/home/pi/arducam/album-V2/IMG_1593335911.png,small
7,659.62609,33907.92249,9.29907,0.18173,1313.39635,351.76423,-3,0.5022292699382026,down,/home/pi/arducam/album-V2/IMG_1593335913.png,big
8,351.76423,28252.07947,6.81287,0.08941,659.62609,255.75278,-4,0.5332782243346379,down,/home/pi/arducam/album-V2/IMG_1593335915.png,big
9,255.75278,24601.27625,5.72412,0.06533,351.76423,215.52279,-5,0.7270573815876618,down,/home/pi/arducam/album-V2/IMG_1593335918.png,big
10,215.52279,22215.00745,5.28479,0.06413,255.75278,215.52279,-6,0.8426996961675255,down,/home/pi/arducam/album-V2/IMG_1593335920.png,big
1,2820.85814,59129.0614,17.27734,0.54483,2820.85814,2798.17405,4,0,up,/home/pi/arducam/album-V2/IMG_1593336110.png,big
